id,question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,part,type,topic,difficulty,context,transcript
"local-p6-001","Choose the best option for blank [1].","will","has","being","was","A","“Will be closed” is the correct future passive form. | “Will be closed” là dạng bị động tương lai đúng.","6","reading","notices","600","NOTICE TO STAFF

Please note that the Northstar office in Boston [1] be closed on June 4 while technicians inspect the ventilation system. Employees should save their work [2] they leave on the previous afternoon. Normal operations will resume the following business day. Questions may be directed to Ms. Carter.",""
"local-p6-002","Choose the best option for blank [2].","before","although","because of","during","A","“Before” correctly links saving work to leaving. | “Before” diễn tả việc lưu công việc trước khi rời đi.","6","reading","notices","600","NOTICE TO STAFF

Please note that the Northstar office in Boston [1] be closed on June 4 while technicians inspect the ventilation system. Employees should save their work [2] they leave on the previous afternoon. Normal operations will resume the following business day. Questions may be directed to Ms. Carter.",""
"local-p6-003","Why will the office close?","For a staff celebration","For a ventilation inspection","For employee training","For a public holiday","B","The notice states that technicians will inspect the ventilation system. | Thông báo nêu rõ kỹ thuật viên sẽ kiểm tra hệ thống thông gió.","6","reading","notices","600","NOTICE TO STAFF

Please note that the Northstar office in Boston [1] be closed on June 4 while technicians inspect the ventilation system. Employees should save their work [2] they leave on the previous afternoon. Normal operations will resume the following business day. Questions may be directed to Ms. Carter.",""
"local-p6-004","What should employees do?","Work at the office overnight","Call a customer","Save their work before leaving","Move to another company","C","Employees are specifically asked to save their work before leaving. | Nhân viên được yêu cầu lưu công việc trước khi rời đi.","6","reading","notices","600","NOTICE TO STAFF

Please note that the Northstar office in Boston [1] be closed on June 4 while technicians inspect the ventilation system. Employees should save their work [2] they leave on the previous afternoon. Normal operations will resume the following business day. Questions may be directed to Ms. Carter.",""
"local-p6-005","Who should receive questions?","Ms. Carter","The building owner","The sales team","A technician","A","The final sentence directs questions to Ms. Carter. | Câu cuối hướng dẫn gửi câu hỏi cho Ms. Carter.","6","reading","notices","600","NOTICE TO STAFF

Please note that the Northstar office in Boston [1] be closed on June 4 while technicians inspect the ventilation system. Employees should save their work [2] they leave on the previous afternoon. Normal operations will resume the following business day. Questions may be directed to Ms. Carter.",""
"local-p6-006","Choose the best option for blank [1].","must","would","used to","had","A","“Must register” expresses the workshop requirement. | “Must register” diễn tả yêu cầu đăng ký.","6","reading","emails","650","To: sales team
From: Ms. Carter
Subject: Customer Service Workshop

A customer service workshop will take place at our Boston branch on June 4. Employees who wish to attend [1] register through the staff portal. Space is limited; [2], early registration is strongly recommended. Participants will receive the workbook by email two days before the session.",""
"local-p6-007","Choose the best option for blank [2].","however","therefore","otherwise","meanwhile","B","Limited space is the reason for early registration, so “therefore” fits. | Vì chỗ có hạn nên “therefore” nối kết quả hợp lý.","6","reading","emails","650","To: sales team
From: Ms. Carter
Subject: Customer Service Workshop

A customer service workshop will take place at our Boston branch on June 4. Employees who wish to attend [1] register through the staff portal. Space is limited; [2], early registration is strongly recommended. Participants will receive the workbook by email two days before the session.",""
"local-p6-008","What is the email mainly about?","A new employee portal","A customer service workshop","A branch relocation","A workbook sale","B","The message announces and explains a customer service workshop. | Email thông báo và hướng dẫn về hội thảo dịch vụ khách hàng.","6","reading","emails","650","To: sales team
From: Ms. Carter
Subject: Customer Service Workshop

A customer service workshop will take place at our Boston branch on June 4. Employees who wish to attend [1] register through the staff portal. Space is limited; [2], early registration is strongly recommended. Participants will receive the workbook by email two days before the session.",""
"local-p6-009","How will participants receive the workbook?","By postal mail","At reception","By email","From a customer","C","The workbook will be sent by email. | Tài liệu sẽ được gửi qua email.","6","reading","emails","650","To: sales team
From: Ms. Carter
Subject: Customer Service Workshop

A customer service workshop will take place at our Boston branch on June 4. Employees who wish to attend [1] register through the staff portal. Space is limited; [2], early registration is strongly recommended. Participants will receive the workbook by email two days before the session.",""
"local-p6-010","When will the workbook be sent?","On the day of the session","Two days before the session","One week after the session","During registration","B","The last sentence says it will arrive two days before the session. | Câu cuối cho biết tài liệu được gửi trước buổi học hai ngày.","6","reading","emails","650","To: sales team
From: Ms. Carter
Subject: Customer Service Workshop

A customer service workshop will take place at our Boston branch on June 4. Employees who wish to attend [1] register through the staff portal. Space is limited; [2], early registration is strongly recommended. Participants will receive the workbook by email two days before the session.",""
"local-p6-011","Choose the best option for blank [1].","will","has","was","would have","A","The scheduled future action requires “will leave”. | Hành động dự kiến trong tương lai dùng “will leave”.","6","reading","shipping","650","Dear Customer,

Your Northstar order #3100 [1] leave our warehouse on June 4. Once the package has been collected by the carrier, you can track [2] using the link in your account. Delivery to Boston normally takes three business days. Please contact us if the tracking page does not update within 24 hours.",""
"local-p6-012","Choose the best option for blank [2].","it","them","its","itself","A","“It” refers to the singular package. | “It” thay cho danh từ số ít “the package”.","6","reading","shipping","650","Dear Customer,

Your Northstar order #3100 [1] leave our warehouse on June 4. Once the package has been collected by the carrier, you can track [2] using the link in your account. Delivery to Boston normally takes three business days. Please contact us if the tracking page does not update within 24 hours.",""
"local-p6-013","What is the purpose of the message?","To confirm a shipment schedule","To request a refund","To advertise a warehouse","To change an address","A","The message tells the customer when the order will ship and how to track it. | Tin nhắn xác nhận lịch gửi hàng và cách theo dõi.","6","reading","shipping","650","Dear Customer,

Your Northstar order #3100 [1] leave our warehouse on June 4. Once the package has been collected by the carrier, you can track [2] using the link in your account. Delivery to Boston normally takes three business days. Please contact us if the tracking page does not update within 24 hours.",""
"local-p6-014","How long does delivery normally take?","One day","Two days","Three business days","One week","C","The message gives an estimated delivery time of three business days. | Thời gian giao dự kiến là ba ngày làm việc.","6","reading","shipping","650","Dear Customer,

Your Northstar order #3100 [1] leave our warehouse on June 4. Once the package has been collected by the carrier, you can track [2] using the link in your account. Delivery to Boston normally takes three business days. Please contact us if the tracking page does not update within 24 hours.",""
"local-p6-015","When should the customer contact the company?","Before placing an order","If tracking does not update within 24 hours","Immediately after delivery","When visiting the warehouse","B","The final sentence gives this instruction. | Câu cuối đưa ra hướng dẫn này.","6","reading","shipping","650","Dear Customer,

Your Northstar order #3100 [1] leave our warehouse on June 4. Once the package has been collected by the carrier, you can track [2] using the link in your account. Delivery to Boston normally takes three business days. Please contact us if the tracking page does not update within 24 hours.",""
"local-p6-016","Choose the best option for blank [1].","takes","makes","does","brings","A","The fixed expression is “take effect”. | Cụm cố định đúng là “take effect”.","6","reading","memos","700","MEMORANDUM
To: All Northstar supervisors
From: Ms. Carter

The revised remote-work policy [1] effect on June 4. Supervisors are responsible [2] explaining the scheduling rules to their teams. Employees may work remotely up to two days per week, provided that their managers approve the requested days in advance.",""
"local-p6-017","Choose the best option for blank [2].","to","of","for","with","C","The fixed pattern is “be responsible for” followed by a gerund. | Cấu trúc đúng là “be responsible for” + V-ing.","6","reading","memos","700","MEMORANDUM
To: All Northstar supervisors
From: Ms. Carter

The revised remote-work policy [1] effect on June 4. Supervisors are responsible [2] explaining the scheduling rules to their teams. Employees may work remotely up to two days per week, provided that their managers approve the requested days in advance.",""
"local-p6-018","Who is the memo addressed to?","All customers","All Northstar supervisors","Only new employees","Building technicians","B","The recipient line names all supervisors. | Dòng người nhận ghi rõ tất cả quản lý.","6","reading","memos","700","MEMORANDUM
To: All Northstar supervisors
From: Ms. Carter

The revised remote-work policy [1] effect on June 4. Supervisors are responsible [2] explaining the scheduling rules to their teams. Employees may work remotely up to two days per week, provided that their managers approve the requested days in advance.",""
"local-p6-019","How often may employees work remotely?","Every day","One day per month","Up to two days per week","Only on weekends","C","The policy permits up to two remote days each week. | Chính sách cho phép tối đa hai ngày làm từ xa mỗi tuần.","6","reading","memos","700","MEMORANDUM
To: All Northstar supervisors
From: Ms. Carter

The revised remote-work policy [1] effect on June 4. Supervisors are responsible [2] explaining the scheduling rules to their teams. Employees may work remotely up to two days per week, provided that their managers approve the requested days in advance.",""
"local-p6-020","What is required before remote days are taken?","Customer approval","Advance manager approval","A medical certificate","A new computer","B","Managers must approve the requested days in advance. | Quản lý phải duyệt trước những ngày được yêu cầu.","6","reading","memos","700","MEMORANDUM
To: All Northstar supervisors
From: Ms. Carter

The revised remote-work policy [1] effect on June 4. Supervisors are responsible [2] explaining the scheduling rules to their teams. Employees may work remotely up to two days per week, provided that their managers approve the requested days in advance.",""
"local-p6-021","Choose the best option for blank [1].","will be","has","was being","to be","A","A future passive form is required: “will be held”. | Cần dạng bị động tương lai “will be held”.","6","reading","events","700","Northstar COMMUNITY DAY

Our annual community event [1] held at Boston Central Park on June 4. Volunteers will help prepare food packages for local families. Please arrive early [2] registration and bring a reusable water bottle. Ms. Carter will lead a short safety briefing at 8:30 A.M.",""
"local-p6-022","Choose the best option for blank [2].","for","by","with","from","A","“For” correctly expresses the purpose of arriving early. | “For” diễn tả mục đích đến sớm để đăng ký.","6","reading","events","700","Northstar COMMUNITY DAY

Our annual community event [1] held at Boston Central Park on June 4. Volunteers will help prepare food packages for local families. Please arrive early [2] registration and bring a reusable water bottle. Ms. Carter will lead a short safety briefing at 8:30 A.M.",""
"local-p6-023","What will volunteers prepare?","Office furniture","Food packages","Marketing reports","Travel documents","B","The announcement says volunteers will prepare food packages. | Thông báo cho biết tình nguyện viên sẽ chuẩn bị các gói thực phẩm.","6","reading","events","700","Northstar COMMUNITY DAY

Our annual community event [1] held at Boston Central Park on June 4. Volunteers will help prepare food packages for local families. Please arrive early [2] registration and bring a reusable water bottle. Ms. Carter will lead a short safety briefing at 8:30 A.M.",""
"local-p6-024","What should volunteers bring?","A laptop","A printed ticket","A reusable water bottle","A safety uniform","C","Participants are asked to bring a reusable water bottle. | Người tham gia được yêu cầu mang bình nước tái sử dụng.","6","reading","events","700","Northstar COMMUNITY DAY

Our annual community event [1] held at Boston Central Park on June 4. Volunteers will help prepare food packages for local families. Please arrive early [2] registration and bring a reusable water bottle. Ms. Carter will lead a short safety briefing at 8:30 A.M.",""
